page,text,x,y
2,"•
",14.4,52.01568
2,"Formulate recommendations for top management and operational teams to set 
up this kind of project
",27.96,52.248000000000005
2,"• The Marketing Department validated VERTONE approach and decided 
",388.66,84.144
2,"to launch the project of implementation
",402.22,71.562
3,"Reworking and launch of a new range of energy saving offers
",70.56,379.28
3,"CONTEXT AND OBJECTIVES
",14.184,302.01
3,"3 offers structured range
",489.55,298.538
3,"Energy – Turnover (2012) € 71.7 billion - 26M customers
",220.73,326.91799999999995
3,"•
",14.4,280.30088
3,"•
",14.4,253.27088
3,"The objective of our intervention was to secure the launch of a new range of offers 
dedicated to energy savings for the residential market. 
",27.96,280.52000000000004
3,"The reworking of this range was part of a wider strategy with the aim of reinforcing 
the positioning of the actor in the energy savings subject (with a new brand,…). This 
new range had to comply with 3 main rules : 
",27.96,253.49
3,"Simplicity : easy to explain, sale and produce 
",56.04,217.49
3,"•
• Customer Orientation : strong customer promise with clearly identified 
",42.48,217.27088
3,"benefits
",56.04,193.508
3,"• Profitability : a good contribution to the production of Energy Savings 
",42.48,181.47
3,"Certificates (CEE) 
",56.04,169.47
3,"MAIN STEPS OF THE PROJECT
",14.184,151.018
3,"• Described the Marketing Mix
",14.424,129.46
3,"• Defined the customer paths 
",14.424,114.46
3,"•
",14.424,99.24288000000001
3,"Identified IT and legal impacts 
",27.984,99.462
3,"• Wrote communication platforms
",14.424,84.462
3,"• Built Business Plan 
",14.424,69.462
3,"• Coordinated the roll-out (training, communication media, sales tools,…)
",14.424,54.438
3,"• Animated the project group and realized key presentations and documents 
",14.424,39.438
3,"concerning the project 
",27.984,27.438000000000002
3,"RESULTS
",388.46,123.09
3,"• 3 offers structured range designed to answer customer needs with a 
",388.68,101.094
3,"strong and easy to understand customer promise. A range approved by a 
market study among targeted customers.
",402.24,89.112
3,"• Commitment to planning schedule to ensure the TTM along with other 
",388.68,62.07
3,"aspects of the strategy (new brand, new website,…)
",402.24,50.07
3,"• A good appropriation by sales force thanks to efficient sales tools.
",388.68,35.07
4,"Conception and implementation of a firm event about Satisfaction : the 
SMILE DAY
",70.56,391.28
4,"Utilities - Turnover (2012) = € 72.7 billion - 26 M private clients
",204.41,326.91799999999995
4,"CONTEXT AND OBJECTIVES
",14.184,302.01
4,"• One regional division of the company doesn’t reach their objectives about 
",14.4,280.49
4,"customer satisfaction
",27.96,267.908
4,"• A huge effort is necessary for middle management to mobilize teams 
• The meeting goal is to mobilize people about customer satisfaction by :
",14.4,252.26
4,"Listening customer voice 
",56.04,211.45999999999998
4,"• Understanding strategic matter of customer satisfaction 
•
• Realizing changes to implement with teams 
•
",42.48,224.05999999999997
4,"Sharing best practices
",56.04,186.23999999999998
4,"MAIN STEPS OF THE PROJECT
",14.184,151.018
4,"• Defined meeting agenda with a theme : satisfaction = smile = Smile Day
•
",14.424,129.43
4,"Structured workshops
",27.984,113.83
4,"RESULTS
",388.46,117.83
4,"• Produced video of the event
• Drove logistic organization during the event
•
",14.424,98.232
4,"Structured the satisfaction survey for attendants 
",27.984,67.05
4,"• Wrote up minutes of meetings
",14.424,51.408
4,"•
",388.68,95.55168
4,"Full organization of a meeting show with 70 managers. Results of 
satisfaction survey after meeting :
",402.24,95.784
4,"• + de 90% attendants satisfied
• 85% feel more operational to reach their objectives about 
",424.68,70.584
4,"customer satisfaction
",438.24,45.36
4,"• 97,5% attendants satisfied or very satisfied by program, 
",424.68,32.76
4,"content and rhythm of the meeting
",438.24,20.16
5,"Benchmark on energy savings websites for an energy player
",70.56,379.28
5,"CONTEXT AND OBJECTIVES
",14.184,302.01
5,"Qualitative mapping of studied energy saving websites
",427.03,297.63000000000005
5,"Utilities - Turnover (2012) = € 72.7 billion - 26 M private clients
",204.41,326.91799999999995
5,"•
",14.4,280.25768
5,"In 2012, VERTONE benchmarked websites on work quotes
",27.96,280.49
5,"• This energy player wanted to update this benchmark and to add a comparative 
study on websites that publish content on energy savings, to be able to position 
its website among the referents 
",14.4,264.86
5,"• The objective was to get a comprehensive and structured view of what exists 
",14.4,224.05999999999997
5,"today on energy savings websites: actors overview and best practices
",27.96,211.45999999999998
5,"MAIN STEPS OF THE PROJECT
",14.184,151.018
5,"• Analyzed the competition through information collected from the Internet, 
",14.424,129.43
5,"DAFSA, Médiamétrie and through personal data (e-mailings)
",27.984,116.83
5,"• Built a document that included results from four areas of analysis: 
",14.424,101.232
5,"• an overview of the actors and their positioning 
•
",34.824,85.632
5,"SEO and SEA strategies
customer experience and details on energy savings contents
communication strategies, DM and social networks
",48.288,70.032
5,"•
",34.824,54.17568
5,"•
",34.824,38.575680000000006
5,"RESULTS
",388.46,117.83
5,"• Client’s website positioning in relation to its competitors on the four 
",388.68,95.784
5,"areas of analysis 
",402.24,83.184
5,"• Determination of areas for improvement areas and work areas and 
",388.68,67.584
5,"best practices
",402.24,55.002
5,"• Recommendations for the 2014 website strategy and new priorities
",388.68,39.36
6,"Update of the 2012- benchmark about the websites of works estimates
",70.56,379.28
6,"CONTEXT AND OBJECTIVES
",14.184,302.01
6,"Chosen method
",506.11,299.158
6,"Energy & Utilities - Revenue (2012) = € 72.7 billion – 39.3M customers
",186.17,326.91799999999995
6,"• The market of work estimates websites is complex and changing. The client 
",14.4,280.49
6,"wished to update the 2012 benchmark.
",27.96,267.908
6,"• The document aimed at highlighting the market evolutions since 2012 and 
",14.4,252.26
6,"positioning the client among its competitors.
",27.96,239.66
6,"• Through these actors’ analysis, good practices have been detected and presented 
",14.4,224.05999999999997
6,"to the client.
",27.96,211.45999999999998
6,"MAIN STEPS OF THE PROJECT
",14.184,183.518
6,"• Determined which actors to study and to compare to the client (among a lot of 
",14.424,161.92999999999998
6,"actors)
",27.984,149.32999999999998
6,"• Analyzed the competitors: personal account, partners, forums, ratings and 
",14.424,133.73
6,"reviews…
",27.984,121.13
6,"• Noted evolutions between 2012 and 2013
• Compared each actor according to their specificities (unique visitors, pages 
",14.424,105.528
6,"consulted per visit, etc.)
",27.984,77.304
6,"• Analyzed the client’s position compared to studied competitors
•
",14.424,61.704
6,"Identified good practices
",27.984,46.104
6,"RESULTS
",388.46,117.83
6,"• Client’s position in comparison to competitors: qualitative articles, long 
",388.68,95.784
6,"and frequent visits on the website, different and interesting 
functionalities, etc. 
",402.24,83.184
6,"• Proposition of good practices and improving trends such as an pre-
",388.68,55.002
6,"filled formulary, numerous and visible partnerships, etc.
",402.24,42.36
7,"For a major energy player, development of a territorial marketing device
",70.56,379.28
7,"Industry - Turnover (2012) = € 71.7 billion – 37 M customers
",211.25,326.91799999999995
7,"CONTEXT AND OBJECTIVES
",14.184,302.01
7,"• The client wanted to promote territorial integration with local officials (mayors, 
",14.4,280.49
7,"regional councilors, agglomeration presidents, etc.)
",27.96,267.908
7,"• VERTONE was commissioned to:
",14.4,252.26
7,"CHALLENGES AND SOLUTIONS
• Challenge n°1: Consolidate various skills such as communication 
skills, local animation, databases, etc. around the same territorial 
marketing project
",388.44,302.05999999999995
7,"• Develop a device that enhances the territorial integration of the customer, 
",42.6,239.66
7,"• What we implemented: communicated with various stakeholders, 
",388.63,239.66
7,"through key measurement indicators 
",56.52,227.05999999999997
7,"• Define the communication tools necessary to territorial marketing
• Prepare the national deployment of this device
",42.6,214.45999999999998
7,"MAIN STEPS OF THE PROJECT
",14.184,162.14000000000001
7,"• Reviewed the existing scheme by conducting interviews with regional 
",14.424,140.58999999999997
7,"representatives and marketing and commercial directions
",27.984,127.99
7,"• Benchmarked the practices of other actors in relation with local authorities
• Developed an impacting communication device for local elected officials
",14.424,112.39
7,"• Prepared the national deployment of this scheme
",42.624,81.21000000000001
7,"• Change management
• Development of a deployment kit
",56.544,65.568
7,"federated the collaboration between local teams and national 
representatives of functional departments, facilitated the project
",402.19,227.05999999999997
7,"• Challenge n°2: Develop a tool that is truly impacting and relevant to 
",388.63,199.791656
7,"local and regional representatives
What we implemented : starting from experienced local needs by 
regional delegates, providing a simple and synthetic tool used primarily 
to support an oral exchange, providing in commercial documents 
quantitative evidences and focusing on the formalization of data 
certified by an external organization
",402.19,186.23999999999998
7,"RESULTS
",388.46,88.842
7,"•
",388.58,66.63168
7,"•
",388.58,51.03168
7,"Strong support of local and national stakeholders for the project
Identification of the key indicators to enhance the local integration of 
the client with local officials
",402.14,66.864
8,"Digital path and Project Management Support
",70.56,379.28
8,"Utilities - Revenue (2013) : € 76 billion - 28M clients
",231.53,326.91799999999995
8,"CONTEXT AND OBJECTIVES
",14.184,302.01
8,"• The Digital Customer Relationship team at EDF asked VERTONE to: 
",14.4,280.49
8,"• Provide expertise for the construction of a digital offer 
•
",50.4,264.86
8,"Specify the cost to serve customers on the digital channel 
",63.96,249.26
8,"• Participate in the development trajectory of different digital projects: 
",50.4,233.66
8,"Facebook Connect, cookie management, customer experience, ... 
",63.96,221.05999999999997
8,"• Ensure project management on the new customer website
",50.4,205.45999999999998
8,"MAIN STEPS OF THE PROJECT
",14.184,172.07
8,"• Provided:
",14.424,150.53
8,"• An accelerated reflection on topics related to digital ambition: 
identification of ins and outs, taking into account the needs of 
customers, setting path 
",50.448,135.548
8,"• A methodology and structuring topics 
•
",50.448,96.624
8,"Strong support for project management: planning, preparing and 
drafting media and reports of meetings, writing expressions of needs, 
steering the performance of the models for the new website
",64.008,81.624
8,"Illustration: Benchmark on cookies
",469.39,298.538
8,"RESULTS
",388.46,124.888
8,"• Understanding of the fundamentals of digital offerings, and 
",388.68,102.816
8,"comparison to margins of maneuver EDF in order to provide a digital 
offer 
",402.24,90.21600000000001
8,"• Methodology for calculating the cost to serve by act, taking into 
",388.68,61.992000000000004
8,"account all costs and volumetrics of acts actually made in the long 
term 
",402.24,49.392
8,"• Clarification and development trajectory of digital topics
",388.68,21.192
9,"BtoB customer experience design and customer paths improvement for an 
energy supplier
",70.56,391.28
9,"CONTEXT AND OBJECTIVES
",14.184,302.01
9,"Customer experience improvement levers 
",453.1,298.25
9,"Energy – Turnover (2012) = € 73 billion - 39 M customers
",219.65,326.91799999999995
9,"• The client is a French energy market incumbent operator 
• On BtoB market, energy suppliers are preparing the end of government-set 
",14.4,280.49
9,"prices, which will force customers to subscribe market-based offers by January 
2016 
",27.96,252.26
9,"• This regulatory change adds up to competitors’ price pressure to earn market 
",14.4,224.05999999999997
9,"shares
",27.96,211.45999999999998
9,"• VERTONE was assigned to support customer experience improvement strategy 
",14.4,195.878
9,"framework and implementation
",27.96,183.23999999999998
9,"MAIN STEPS OF THE PROJECT
• Analyzed current delivered customer experience on each BtoB segments: key 
",14.184,158.01
9,"accounts, large companies, professionals…
",27.984,125.06
9,"• Defined customer experience’s components and evaluated the main components 
",14.424,110.06
9,"to work on to reach targeted service quality
",27.984,98.06400000000001
9,"• Defined a new customer experience design on every component of client-
",14.424,83.04
9,"supplier relationship: customer advisors’ attitude, contact channels, trade policy, 
range of offers and services, communication…
Implemented the new customer experience in main customer paths
",27.984,71.03999999999999
9,"•
",14.424,43.80768
9,"RESULTS
",388.46,124.888
9,"• Definition of the main levers for customer experience improvement
•
• Definition of the project development path and implementation of 
",388.68,103.416
9,"Formalization of customer experience guidelines and design
",402.24,88.416
9,"several workshops to specify customer experience evolutions 
",402.24,61.392
9,"• Revision of 3 key paths on customer lifecycle
• Definition of KPIs to measure customer experience’s evolutions 
",388.68,46.392
9,"impacts
",402.24,19.392
10,"Path definition and support to marketing projects for a major player in the 
energy sector
",70.56,391.28
10,"Energy & Utilities - Revenue (2012) = € 76 billion - 28 M customers
",195.29,326.91799999999995
10,"CONTEXT AND OBJECTIVES
",14.184,302.01
10,"• Our client evolves in the highly competitive market of ""White certificates"", and is 
",14.4,280.49
10,"subject to many regulatory changes. In this challenging context, VERTONE was 
asked to assist with:
",27.96,267.908
10,"• Piloting and defining the request for change path within the Marketing 
",14.4,239.66
10,"Department, in accordance with the IT Department constraints
Supporting marketing teams and following-up on requested changes
Scoping new projects
",27.96,227.05999999999997
10,"•
",14.4,211.22768
10,"•
",14.4,195.645152
10,"• Piloting the energy saving activity
",14.4,180.23999999999998
10,"MAIN STEPS OF THE PROJECT
",14.184,158.01
10,"• Elaborated a coherent 3-years functional path
Formalized a marketing view of the IS mapping
•
",14.424,136.45999999999998
10,"• Monitored projects and the request for changes portfolio
• Assisted new projects scoping
• Helped write expression of needs
• Prepared strategic committees’ presentation documents
•
",14.424,105.264
10,"Steered the overall activity
",27.984,42.84
10,"Responsibilities in the development process 
",450.48,296.5
10,"RESULTS
",388.46,124.888
10,"•
",388.68,102.58368
10,"Implementation of new processes for managing requests for changes 
and of secured planning
",402.24,102.816
10,"• Good understanding of business stakes and IT requirements that 
",388.68,74.634
10,"allowed to achieve marketing projects aligned with IT means
",402.24,61.992000000000004
11,"Pricing innovation on electricity offers for SME's market
",70.944,379.28
11,"Energy & Utilities - Revenue (2012) = € 76 billion - 28 M customers
",195.29,327.77
11,"CONTEXT AND OBJECTIVES
• On the electricity market, the deployment of communicating meters, will enhanced 
",14.184,302.01
11,"the energy actors’ value proposition, by innovating on new pricing offers.
",28.104,269.29
11,"•
",14.544,254.07088
11,"•
",14.544,227.07088
11,"In this environment, an electric power actor wants to differentiate its professional 
clients’ offers range value proposition.
",28.104,254.29
11,"The study has for objectives to identify the first approaches of pricing offers through 
intern creativity workshops, in order to suggest offers breaking away from existing 
schemes.
",28.104,227.29
11,"•
",14.544,188.04088
11,"Those scenarios, represented as boards, will be submitted to Focus Group discussion.
",28.104,188.26
11,"One of the offers boards, breaking away with the existing schemes
",403.03,299.38000000000005
11,"MAIN STEPS OF THE PROJECT
",14.184,150.19
11,"• Gather all the intern documentation basis on the subject. 
",14.4,127.76
11,"RESULTS
",388.46,135.878
11,"• Make contact with entities and subsidiaries with already some initiated works.
",14.4,112.76
11,"• A dynamic of share and exchange with the R&D.
",388.78,113.72
11,"•
",14.4,97.53888
11,"Initiate a co-construction dynamic with the Research & Development department.
",27.96,97.758
11,"• A complete statement of the document basis researches, the benchmarks 
",388.78,98.718
11,"• Realize a benchmark of smart-meters offers, worldwide. 
",14.4,82.758
11,"• Animate creativity workshops with intern targeted teams, using creativity methods 
",14.4,67.758
11,"often used by VERTONE to break with the existing rules and propose new offers.
",27.96,55.734
11,"•
",14.4,40.514880000000005
11,"Sum-up all the ideas of the workshops to convert them in a coherent offers range.
",27.96,40.734
11,"and the exchanges with the group’s subsidiaries and entities.
",402.34,86.718
11,"• A compilation of around 100 ideas, out coming from the workshops.
",388.78,71.736
11,"• An innovative offers range proposition composed of 5 offers and options 
",388.78,56.693999999999996
11,"to test.
",402.34,44.693999999999996
11,"• 5 offers boards ready to be tested on Focus Group discussions to know 
",388.78,29.694000000000003
11,"professional clients reactions.
",402.34,17.694000000000003
12,"For a major energy player, market analysis and positioning 
recommendations of a digital service to find craftsmen for housework
",70.944,391.28
12,"Energy & Utilities - Revenue (2014) = € 73 billion
",239.81,327.77
12,"CONTEXT AND OBJECTIVES
• A major energy player historically offered an assistance service to its clients for 
",14.184,302.01
12,"•
",14.544,252.82768
12,"the realization of renovation work thanks to a digital work quotes tool.
Since then, the client’s offer has turned into a professional directory enabling 
individuals to contact directly craftsmen.
",28.104,268.66
12,"• The objective of this document is to analyze the market for this new service, to 
",14.544,224.85999999999999
12,"identify the competitors’ best practices and to provide the client with positioning 
recommendations.
",28.104,212.278
12,"MAIN STEPS OF THE PROJECT
",14.184,171.02
12,"• Draw up a competitive panorama and categorize the players to understand the 
",14.4,148.55999999999997
12,"forces involved.
",27.96,135.95999999999998
12,"• Analyze the players’ web indexing and study the different kinds of partnerships 
",14.4,120.36
12,"displayed by the market players.
",27.96,107.76
12,"• Describe the customer paths offered by competitors and identify key topics and 
",14.4,92.136
12,"•
",14.4,63.70368
12,"best practices in terms of customer experience.
Study the presence of the players on social media, identify the highlighted 
customer benefits and study their direct marketing practices.
",27.96,79.536
12,"• Establish positioning recommendations of the service compared to competitors.
",14.4,35.736
12,"Mapping and categorization of the players
",455.98,296.708
12,"RESULTS
",388.46,135.878
12,"• Definition of three positioning scenarios aiming at improving customer 
",388.78,113.69
12,"satisfaction and enriching customer experience: reliability of the 
service, assistance of the client all along the path, personalization of 
the house work experience.
",402.34,101.08800000000001
12,"• Definition of a roadmap for 2016.
",388.78,60.264
13,"Design of a Communication Plan (« For Home » market) 
",70.944,379.28
13,"Energy & Utilities - Retail Business Unit - Revenue (2014) = € 77 billion
",186.05,327.77
13,"CONTEXT AND OBJECTIVES
• The mission aims to build up the communication plan on the “For Home” market
",14.184,302.01
13,"and on the various channels (media, owned media , stores and digital)
",27.888,268.87
13,"• The objectives are both to leverage the new positioning of the brand as well as
",14.328,253.26999999999998
13,"to boost the selling of some offers.
",27.888,240.67
13,"MAIN STEPS OF THE PROJECT
",14.184,162.33
13,"• Elaborate a diagnostic of all the communications actions led in 2015
• Build a benchmark of the communication tendencies on the market
•
",14.4,139.89999999999998
13,"Identify all the offers and services to be launched in 2016 as well as their needs in
matter of communication (on the various channels)
",27.96,108.67
13,"• Prioritize the main “Temps Forts” regarding the objectives defined,
",14.4,80.47200000000001
13,"the
",362.71,80.47200000000001
13,"tendencies of the market and the budget allowed
",27.96,67.872
13,"RESULTS
",388.46,132.38
13,"• Various interviews led to make a census of the situation
• An iterative methodology adopted to build the communication plan
• A specific plan designed for the stores network
• A presentation delivered and the main media “Temps Forts”
",388.78,110.21000000000001
13,"•
",388.78,34.95168
13,"commonly validated
Some decisions made about the budget allowed in collaboration with
the corporate communication department
",402.34,50.808
14,"Definition of a mobile strategy for a key energy player
",70.32,379.28
14,"Energy & Utilities – 30M customers
",272.47,326.91799999999995
14,"CONTEXT AND OBJECTIVES
",14.184,302.01
14,"• Update the mobile strategy taking into consideration main mobile trends as well 
",14.4,280.49
14,"as internal evolutions within the client's organization.
",27.96,267.908
14,"• Deliver a 5-year roadmap.
",14.4,252.26
14,"MISSION MAIN STEPS
",14.184,189.45
14,"•
",14.424,167.66768
14,"Identify the key strategic issues.
",27.984,167.89999999999998
14,"• Collect inputs from all concerned teams.
• Gather information about current trends and innovations (devices, consumers’ 
habits…) within the digital world in order to help the client determine short and 
long-term priorities.
",14.424,152.29999999999998
14,"• Establish a 5-year roadmap.
",14.424,95.88
14,"The strategy defined had to be consistent from one channel to another 
while also taking into account  the impact of customer’s new behaviors
",396.46,249.46
14,"(e.g. internet of things)
",496.8,225.46
14,"RESULTS
",388.46,129.14
14,"•
",388.78,106.75968
14,"Successful definition of a 5-year mobile strategy roadmap within a 
short schedule (2 months).
",402.34,106.992
14,"• Broad consensus on the strategy across all key departments. 
",388.78,78.768
15,"New website on Energy Transition for local authorities
",70.92,379.28
15,"CONTEXTE ET OBJECTIFS
",14.184,302.01
15,"Main themes of the website
",483.1,298.678
15,"Energy & Utilities - CA 2014 = 73 Mds € - 39 M customers in the world
",187.01,327.1
15,"• A leading company in the energy sector has difficulties to promote its ability to 
",14.4,280.49
15,"offer innovative services going beyond traditional activities of production, 
distribution and commercialization of electricity.
",27.96,267.908
15,"• The customer wants to propose a new website to its customers and potential 
",14.4,239.66
15,"new customers (local authorities) to promote its services in terms of Energy 
Transition.
",27.96,227.05999999999997
15,"• VERTONE intervened to study the opportunity to launch a new website about 
",14.4,198.878
15,"Energy Transition targeting local authorities (regions, department, cities…).
",27.96,186.23999999999998
15,"DÉMARCHE
",14.184,170.68
15,"• Define the positioning (Energy Transition : electric vehicles, production of local 
and natural energies, energetic performance of buildings…) and targets of the 
website (local authorities).
",14.424,149.178
15,"• Define contents of the website (Open Data, training sessions, videos, articles…) 
",14.424,108.34
15,"and design mockups of the website.
",27.984,95.736
15,"• Write requirements specifications for the Open Data section and the interactive 
",14.424,80.136
15,"module.
Facilitate workshops with local elected representatives to present the project.
",27.984,67.512
15,"•
",14.424,51.67968
15,"• Elaborate the business model of the offer.
",14.424,36.312
15,"RÉSULTATS
",388.46,128.37
15,"•
",388.78,105.99168
15,"Synthesis of the offer and business model to present to the Codir.
",402.34,106.224
15,"• 2 requirements specifications sent to editors of Open Data solution 
",388.78,90.624
15,"and interactive module.
",402.34,78.042
15,"• Agreement of the Codir on the roadmap of the project
",388.78,62.4
16,"IT project support to a web portal within the Marketing Department
",70.56,379.28
16,"Energy & Utilities - Revenue 2012 = 72,9 billion € - 38,5 M customers
",189.89,327.77
16,"CONTEXT AND OBJECTIVES
",14.184,302.01
16,"CHALLENGES & SOLUTIONS
",388.46,302.01
16,"• To collect CEE realized when works are performed at private houses by 
",14.4,280.46000000000004
16,"professionals, EDF provides web portals to report and monitor their works.
In a context of regulatory changes the client wants a support to : 
",27.96,267.86
16,"•
",14.4,252.02768
16,"• Manage tests phase through an AGILE method
•
",388.66,280.46000000000004
16,"Lead the weekly monitoring of the service provider in charge of the IT 
development
",402.24,264.86
16,"‒ Manage the requests for changes of the Marketing Department , in line 
",50.4,239.66
16,"with business needs and partnership arrangements
",63.96,227.04
16,"‒ Ensure IT project management support: upgrades, tests, anomalies…
‒ Contribute to activities to improve EDF partnerships regarding CEE
",50.4,214.44
16,"MAIN STEPS OF THE MISSION
",14.184,171.86
16,"• Assist to manage emerging projects
•
",14.424,150.30999999999997
16,"Support the redaction of business needs
",27.984,134.71
16,"• Manage project progress through an AGILE method : monitor decisions , write 
",14.424,119.11
16,"and steer tests, and pull anomalies
",27.984,106.53
16,"• Maintain in operational conditions the web portal
• Prepare presentations to networks partners 
• Capitalize on anomalies found
",14.424,90.888
16,"• Perform focused tests during the development stage
•
",388.66,236.678
16,"Specify anomalies through a digital mock-up
Implement advanced upgrades in short deadlines
",402.24,221.04
16,"•
",388.66,205.20768
16,"• Define production development scenarios
• Ensure the preservation of historical data
• Test upgrades in environments identical to the production
",388.66,189.83999999999997
16,"RESULTS
",388.46,139.82
16,"• Understand technical and business issues to realize Marketing 
",388.85,117.60000000000001
16,"Department projects according to IT developers means :
",402.41,105.0
16,"• 2 release upgrades of the web portal (4 main updates)
• Monitoring process improvement 
• Global satisfaction of 6 000 final users
•
",388.85,89.4
16,"Improvement of operational performance and data quality
",402.41,42.576
17,"Review of marketing campaign processes and implementation of an MRM 
tool
",71.16,391.28
17,"CONTEXT AND OBJECTIVES
",14.184,302.01
17,"Review of marketing campaign processes
",457.99,298.678
17,"Energy & Utilities – Revenue (2013) = € 76 billion - 28 M clients
",203.69,327.1
17,"• Outbound marketing campaigns represent an excessive administrative and 
",14.4,280.49
17,"•
",14.4,252.02768
17,"•
",14.4,198.645152
17,"organization workload for internal and external operational teams.
In order to streamline marketing processes, the Marketing Department of an 
energy player decided to implement a MRM tool (Marketing Resources 
Management). The goal of this project is to improve cooperation between 
internal and external teams and reduce time-to-market of marketing campaigns.
In this respect, VERTONE was in charge of reviewing marketing campaign 
processes and implement the tool.
",27.96,267.908
17,"MAIN STEPS OF THE PROJECT
",14.184,170.68
17,"• Defined the scope of the project.
• Mapped out the marketing campaigns processes.
•
",14.424,149.178
17,"Identified the ways of improvement / seek out more efficient and effective ways 
of operating.
",27.984,117.94
17,"• Wrote specifications based on clients needs in order to select the editor of the 
",14.424,89.736
17,"tool.
",27.984,77.154
17,"• Prepared the bid solicitation and a test day of the tool for final users
• Challenged functional specifications and produced Minimum Viable Product 
",14.424,61.512
17,"illustrating the tool.
",27.984,33.312
17,"RESULTS
",388.46,128.37
17,"• Optimization of 5 marketing processes (management and tool 
",388.78,106.224
17,"•
",388.78,77.809152
17,"optimizations).
Implementation of the tool for more than 50 internal and external 
users.
",402.34,93.624
18,"Support of the transformation of a Commercial and Customer Relations 
organization of 400 persons on the energy market 
",70.296,391.29999999999995
18,"CONTEXT AND OBJECTIVES
",14.184,301.98999999999995
18,"New Sales and Customer Relations organizations 
",439.75,296.978
18,"Energies & Utilities - CA 2015 = 75 Mds€ - 38,5 M customers
",211.32,326.88
18,"• The energy market underwent a main regulatory evolution since January 1st 2016 
",14.376,280.88000000000005
18,"with the end of the regulated sales prices. Following these changes, the client’s 
BtoB market activity model evolves to reinforce the creation of value and 
performance for the Business Direction.
",27.936,267.878
18,"• VERTONE has been requested to assist the transformation project framing for the 
",14.376,227.04
18,"Ile de France direction and its implementation. 
",27.936,214.44
18,"MAIN STEPS OF THE MISSION
",14.184,189.45
18,"•
",14.592,167.495152
18,"Framed the project (projects, organization, macro-planning).
",28.152,167.72799999999998
18,"• Managed the project on a day-to-day basis (preparation of the project and 
",14.592,152.08999999999997
18,"Employee Representative meetings, action plans, actions follow-up, meetings 
with the several participants).
",28.152,139.48999999999998
18,"• Defined the new Sales and Customer Relations directions organizations thanks to 
",14.592,111.29
18,"workshops with the management.
Specified the change support plan and implemented the different actions.
",28.152,98.688
18,"•
",14.592,82.83168
18,"• Developed a model to forecast clients and prospects portfolio evolution and to 
",14.592,67.464
18,"evaluate the charges and resources needed to the implementation of the results 
objectives.
",28.152,54.864000000000004
18,"RESULTS
",388.51,146.148
18,"• Elaboration of the new organizations, in order to answer the 
",388.8,124.03
18,"performance objectives and limit the impacts on teams, so as to favor 
commitment (transition of 400 persons in the new organizations in 7 
months, according to the agreed schedule).
",402.36,111.43
18,"• Change support plan in line with the employees expectations 
",388.8,70.632
18,"expressed during the impact analysis.
",402.36,58.008
